"x"
126.6
101.8
71.6
101.6
68.1
62.9
45.5
41.9
46.3
34.1
38.2
41.7
24.7
41.5
36.6
19.6
22.8
29.6
23.5
15.3
13.4
26.8
9.8
18.8
25.9
19.3
